1. Wat was je score op de GapMinder test? Je hoeft je niet te schamen als het slecht was :-). De meeste mensen score vrij slecht.  Noteer de score hieronder als een breuk.,2. Met welke hand schrijf je?,3. Wat is je schoenmaat?,4. Wat is je lichaamslengte (in cm)?,5. Wat is je bloedgroep: AB0?,6. Wat is de resusfactor van je bloedgroep?,7. Hoeveel broers / zussen heb je?,8. Vink alle beweringen aan die volgens aannemelijk zijn.,9. Welke rijbewijzen heb je al volledig behaald?,10. Mijn domicilieadres ligt,11. Welke afstudeerrichting denk je te kiezen?,12. Wat is je favoriete vrijetijdsbesteding?,13. Hoeveel uren wiskunde had je in het laatste jaar middelbaar?,14. Hoe belangrijk is het voor je om informaticus te worden?,15. Hoeveel uur werk je gemiddelde per week voor school buiten de schooluren? Noteer als HH:mm (en wees eerlijk),16. Wat is de afstand van thuis / kot naar de KdG campus Groenplaats (in km)?,17. Hoe kom je naar school?,18. In 2012 bedroeg de opwarming van de aarde 0.85°C t.o.v. het jaar 1880. In 2020 bedroeg het reeds 0.98°C. Wanneer zal de aarde volgens jou meer dan 1.5°C opgewarmd zijn door de klimaatopwarming?,19.  Hoeveel zakgeld krijg je of verdien je zelf per maand?,20a. Hoeveel stukken / porties fruit eet je gemiddeld per dag?,21. Welk besturingssysteem gebruik je het liefst?,"22. Stel dat je maar één app op je smartphone mocht zetten, welke zou je dan kiezen",23a. In hoeverre vind je het belangrijk om het welzijn van anderen te beschermen en te verzorgen?,23b. In hoeverre geloof je dat het belangrijk is om middelen gelijk en eerlijk te verdelen?,"23c. In hoeverre vind je het belangrijk om loyaal te zijn aan je familie, vrienden of je land?",23d. In hoeverre vind je het belangrijk om gezag te respecteren en gevestigde regels en normen te volgen?,23e. In hoeverre geloof je dat het belangrijk is om zuiverheid te handhaven en gedrag of handelingen te vermijden die als vulgair of immoreel worden ervaren?,23f. In hoeverre vind je het belangrijk dat individuen vrijheid van keuze en expressie hebben zonder inmenging van anderen?,24. Wat is volgens jou het zwaarste vak uit het eerste jaar?,25. Welke vak uit het eerste jaar TI vind je het boeiendst?,"26. In het hoger onderwijs wordt 1 studiepunt gelijkgesteld aan 25 uren studiebelasting.  
Wat is jouw inschatting?	",27. Ik geef toestemming om deze gegevens geanonimiseerd te gebruiken binnen de lessen Data Science van de opleiding Toegepaste Informatica op KdG.
10/20,Beide,47,120,Weet ik niet,Negatief,8,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De wereld wordt eigenlijk gecontroleerd door een geheime elite",Categorie A: Motorfietsen.;Categorie B: Wagens.;Categorie D: Bussen.,in een stad,Artificial Intelligence,Lezen,9,Extreem,23:27,1,Te voet;Met de fiets,2028-04-01,345.78,6,Linux,Muziek App,1,1,1,1,1,1,Management 1,Computersystemen 1,12,Ja
0/10,Rechts,40,170,B,Weet ik niet,10,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden",Categorie G: Landbouwvoertuigen.,in een stad,Applicatieontwikkeling,Gamen,9,Groot,40:00,199,Te voet,0023-03-22,0,10,Windows,Andere App,5,5,5,5,5,5,Computersystemen 1,Netwerken 1,10,Nee
1/10,Beide,50,130,Weet ik niet,Weet ik niet,2,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;De maanlanding is in scène gezet om de Russen te slim af te zijn;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten",Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.;Categorie C: Vrachtwagens.;Categorie D: Bussen.;Categorie G: Landbouwvoertuigen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,9,Matig,00:30,38,Te voet;Met de fiets;Met de trein;Met de tram;Met de bus;Met de auto;Andere,2069-04-20,219544,10,Windows,GPS App,1,5,1,1,5,5,Netwerken 1,User interfaces 1,40,Nee
3/18,Rechts,43,178,A,Positief,3,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,6,Matig,02:00,23,Met de tram;Met de auto,2035-01-01,50,0,Windows,Muziek App,5,4,3,4,5,5,Management 1,Programmeren 1 - Java,5,Ja
7/10,Rechts,42,185,O,Negatief,0,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,in een stad,Artificial Intelligence,Dansen,8,Groot,12:30,20,Met de fiets,2040-01-01,50,2,Windows,Agenda App,4,4,3,3,4,5,User interfaces 1,Data science 1,30,Ja
5/20,Rechts,36,156,Weet ik niet,Positief,1,Geen enkele bewering is aannemelijk,Categorie D: Bussen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Andere,5,Groot,07:00,33,Met de trein;Met de tram;Met de bus,2030-07-27,0,0,Windows,Sociaal Netwerk App,5,5,5,4,2,3,Software engineering 1,Programmeren 1 - Java,10,Ja
3/18,Rechts,39,155,AB,Positief,0,Geen enkele bewering is aannemelijk,Categorie G: Landbouwvoertuigen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Gamen,2,Groot,04:30,35,Met de trein;Met de tram;Met de auto,2030-11-29,50,1,Windows,Game App,3,4,3,5,3,5,Computersystemen 1,Netwerken 1,1,Ja
02/09,Rechts,37,172,A,Positief,2,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),3,Niet,04:00,14,Te voet;Met de trein;Met de tram,2030-12-01,100,1,iOS,Sociaal Netwerk App,3,3,4,4,3,5,Netwerken 1,Programmeren 1 - Java,15,Ja
04/09,Rechts,45,185,Weet ik niet,Weet ik niet,1,Geen enkele bewering is aannemelijk,Categorie G: Landbouwvoertuigen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,2,Niet,03:00,12,Met de tram;Met de bus,2050-01-01,40,1,Windows,Muziek App,3,2,4,3,3,4,Netwerken 1,User interfaces 1,20,Ja
06/09,Links,45,185,Weet ik niet,Weet ik niet,1,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Matig,09:00,9,Te voet;Met de fiets;Met de tram,2073-01-01,100,1,iOS,Muziek App,4,4,4,4,3,5,Computersystemen 1,Programmeren 1 - Java,20,Ja
